network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins
599,4,492.9832634426563,0.606818080396889,1
472,3,1557.9964611204384,0.3015689675960893,0
629,3,75.04426166420741,0.7391643279163831,2
804,4,601.2488351708328,0.1232671757524846,0
453,5,532.5408884201419,0.0548738567431703,1
453,5,380.4715502453134,0.4224858607066699,2
815,4,728.1071646972356,0.4137719285892984,1
653,3,12.5999060098958,0.0977193658576949,3
406,2,542.5588952208974,0.2945796876500889,0
608,6,531.9441066211396,0.4241165641663546,1
407,6,580.7219253670751,0.1228937389064628,3
406,9,191.0528369326706,0.3397112713433893,1
548,2,186.1476383415076,0.4068986326067099,2
117,4,833.4889649491395,0.4732919047923998,2
155,3,77.84995157439054,0.3524755745227921,3
387,6,292.1361960073892,0.2549124511362793,3
297,8,1421.414371761036,0.345367552273892,3
562,1,87.64100168835026,0.1367291897579692,2
318,5,504.98866997657433,0.3942314568896387,1
217,2,883.6175678484254,0.3101131570512104,0
793,3,122.1894142089281,0.3693246493280864,2
454,1,299.71154797427783,0.3738745916057353,1
513,3,654.5261426459776,0.4970295435549451,1
215,8,317.0788581057768,0.461950842242767,2
391,5,93.17112499822254,0.536245189457405,2
522,4,211.59584253834697,0.1078985576055601,3
269,9,92.70169297371484,0.5068194256848887,0
575,3,3286.221727767748,0.4204711850467863,0
379,2,214.98212232301017,0.7863154442710675,2
441,7,604.9615522886485,0.3360318477936075,0
379,1,447.62330730772806,0.0993898185618982,0
870,2,674.2716307687525,0.2720868405623606,1
497,1,551.4693389958693,0.0351392525704552,1
288,2,1039.10118603804,0.110269438624984,3
664,6,1650.942099269792,0.3915442086550267,2
255,2,268.71323796747225,0.5173361768348047,1
541,5,162.2873080817919,0.1379758234123113,2
108,7,3325.3086894656926,0.0795093219361312,2
234,5,1608.365096858205,0.6459042598252172,4
539,4,361.9425945829811,0.3087899599206534,0
647,2,1801.41325899014,0.2991840394359722,1
534,4,888.2555882449734,0.0367521363575246,3
476,4,460.1784563437431,0.3974194615917665,2
439,5,1653.5169443242044,0.2453131148697448,2
204,4,899.8403029798167,0.3373211395417786,1
356,2,1401.0372662699012,0.6729768279913647,1
407,7,432.6976830475844,0.081769711383674,3
711,5,1282.4285713839413,0.207445483534184,2
568,6,365.73555486698257,0.5343683322456065,2
147,1,1062.659149730583,0.2633726317268964,1
564,2,457.4952008808089,0.219704731816743,1
422,5,415.6167950841102,0.4663241681421678,1
364,5,1274.1942392067006,0.8708336888298047,2
622,6,106.8587436466122,0.3298889701600508,1
706,4,2107.19716665885,0.4658562587345757,2
686,3,568.5288982396605,0.6136432536281438,1
332,2,808.6446595055914,0.1742454820703902,2
438,4,415.7067630688467,0.2172346369333444,1
566,5,830.483464807917,0.6028501934467423,1
695,1,989.8897960942786,0.259418552130799,2
404,9,1622.860870864447,0.2356755502429507,2
462,5,1541.3967703070944,0.0400191829191788,2
278,8,354.30271017360786,0.5116026457176248,2
260,6,765.3837210156122,0.5402342873210285,1
662,3,1213.40421214117,0.4544121864022344,1
771,6,1158.071232246108,0.1357785048218817,2
485,5,1772.622948174797,0.4362987418285402,2
700,6,1426.7642254528307,0.1997666308396278,4
572,10,1012.2699508672414,0.1644573479924417,1
370,1,1105.3806022240433,0.4086537168997098,2
572,6,1317.8935947961731,0.2053917876576297,0
807,3,1455.576779684165,0.6271547548524079,0
492,4,347.91805418370086,0.2638643281334985,1
812,7,1217.9139195544108,0.651720998102494,2
64,6,2384.0286686884297,0.5125115429611737,1
664,3,212.17659606312992,0.1055602857207033,0
517,5,39.54966375410118,0.3360337531065149,1
440,5,60.12054049063278,0.3466523484514337,1
